date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/04/2012,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=38645,53.1,50.9,51.0,Sun,Africa/Lagos
01/04/2012,02:30,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=38644,48.3,,48.1,Sun,Africa/Lagos
01/04/2012,23:21,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2012#detail=38429,49.5,,51.3,Sun,Africa/Lagos
01/04/2012,23:50,JPY,orange,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2012#detail=39131,-4,0,-4,Sun,Africa/Lagos
01/04/2012,23:50,JPY,orange,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2012#detail=39132,5,5,4,Sun,Africa/Lagos
02/04/2012,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2012#detail=42138,,,,Mon,Africa/Lagos
02/04/2012,00:30,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=39231,0.5%,,0.1%,Mon,Africa/Lagos
02/04/2012,01:30,AUD,red,Building Approvals m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=39556,-7.8%,0.4%,1.1%,Mon,Africa/Lagos
02/04/2012,06:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=april.2012#detail=39183,2.7%,,3.2%,Mon,Africa/Lagos
02/04/2012,07:15,CHF,red,Retail Sales y/y,https://www.forexfactory.com/calendar?month=april.2012#detail=39283,0.8%,3.2%,4.7%,Mon,Africa/Lagos
02/04/2012,07:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=43852,44.5,,45.0,Mon,Africa/Lagos
02/04/2012,07:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=38499,51.1,49.5,49.0,Mon,Africa/Lagos
02/04/2012,07:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=43506,47.9,47.8,47.8,Mon,Africa/Lagos
02/04/2012,07:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=58948,46.7,47.6,47.6,Mon,Africa/Lagos
02/04/2012,07:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=59005,48.4,48.1,48.1,Mon,Africa/Lagos
02/04/2012,08:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=38498,47.7,47.7,47.7,Mon,Africa/Lagos
02/04/2012,08:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=38539,52.1,50.6,51.5,Mon,Africa/Lagos
02/04/2012,08:30,GBP,yellow,Housing Equity Withdrawal q/q,https://www.forexfactory.com/calendar?month=april.2012#detail=40575,-8.5B,-7.4B,-8.5B,Mon,Africa/Lagos
02/04/2012,09:00,EUR,orange,Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2012#detail=41443,10.8%,10.8%,10.7%,Mon,Africa/Lagos
02/04/2012,09:00,EUR,yellow,Italian Monthly Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2012#detail=40832,9.3%,9.2%,9.1%,Mon,Africa/Lagos
02/04/2012,09:00,EUR,yellow,Italian Quarterly Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2012#detail=40865,8.8%,8.6%,8.4%,Mon,Africa/Lagos
02/04/2012,13:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=59518,52.4,,51.8,Mon,Africa/Lagos
02/04/2012,14:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=38474,53.4,53.3,52.4,Mon,Africa/Lagos
02/04/2012,14:00,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=40356,-1.1%,0.7%,-0.8%,Mon,Africa/Lagos
02/04/2012,14:00,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=april.2012#detail=38475,61.0,63.2,61.5,Mon,Africa/Lagos
02/04/2012,16:30,CAD,orange,BOC Gov Carney Speaks,https://www.forexfactory.com/calendar?month=april.2012#detail=43276,,,,Mon,Africa/Lagos
02/04/2012,16:35,USD,orange,FOMC Member Pianalto Speaks,https://www.forexfactory.com/calendar?month=april.2012#detail=43278,,,,Mon,Africa/Lagos
02/04/2012,23:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=april.2012#detail=39152,-0.2%,12.6%,11.3%,Mon,Africa/Lagos
03/04/2012,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2012#detail=42139,,,,Tue,Africa/Lagos
03/04/2012,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=42255,58.0,,57.3,Tue,Africa/Lagos
03/04/2012,01:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=39487,0.2%,0.2%,0.3%,Tue,Africa/Lagos
03/04/2012,01:30,JPY,orange,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=april.2012#detail=39003,0.7%,0.2%,-0.9%,Tue,Africa/Lagos
03/04/2012,03:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=april.2012#detail=49037,1.01|2.7,,0.97|3.3,Tue,Africa/Lagos
03/04/2012,04:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=april.2012#detail=38355,4.25%,4.25%,4.25%,Tue,Africa/Lagos
03/04/2012,04:30,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=april.2012#detail=38356,,,,Tue,Africa/Lagos
03/04/2012,07:00,EUR,orange,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=april.2012#detail=44031,38.8K,,112.3K,Tue,Africa/Lagos
03/04/2012,08:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=april.2012#detail=38538,56.7,53.6,54.3,Tue,Africa/Lagos
03/04/2012,09:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=41273,0.6%,0.5%,0.8%,Tue,Africa/Lagos
03/04/2012,09:08,EUR,yellow,Final GDP q/q,https://www.forexfactory.com/calendar?month=april.2012#detail=41261,-0.3%,-0.3%,-0.3%,Tue,Africa/Lagos
03/04/2012,09:36,GBP,orange,10-y Bond Auction,https://www.forexfactory.com/calendar?month=april.2012#detail=42472,2.22|1.9,,2.18|2.1,Tue,Africa/Lagos
03/04/2012,13:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=april.2012#detail=56272,0.6%,,-5.1%,Tue,Africa/Lagos
03/04/2012,14:00,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=41061,1.3%,1.5%,-1.1%,Tue,Africa/Lagos
03/04/2012,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=april.2012#detail=39950,14.4M,14.6M,15.1M,Tue,Africa/Lagos
03/04/2012,18:00,USD,red,FOMC Meeting Minutes,https://www.forexfactory.com/calendar?month=april.2012#detail=39974,,,,Tue,Africa/Lagos
03/04/2012,20:05,USD,orange,FOMC Member Williams Speaks,https://www.forexfactory.com/calendar?month=april.2012#detail=43281,,,,Tue,Africa/Lagos
03/04/2012,23:00,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=april.2012#detail=40195,1.5%,,1.2%,Tue,Africa/Lagos
03/04/2012,23:22,AUD,orange,AIG Services Index,https://www.forexfactory.com/calendar?month=april.2012#detail=38430,47.0,,46.7,Tue,Africa/Lagos
04/04/2012,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2012#detail=42140,,,,Wed,Africa/Lagos
04/04/2012,01:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=40070,-1.7%,,0.0%,Wed,Africa/Lagos
04/04/2012,01:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=april.2012#detail=39488,-0.48B,1.12B,-0.97B,Wed,Africa/Lagos
04/04/2012,07:00,GBP,red,Halifax HPI m/m,https://www.forexfactory.com/calendar?month=april.2012#detail=39918,2.2%,-0.3%,-0.4%,Wed,Africa/Lagos
